dataset,method,spearman,kendall,pearson,f1,acc,ncv,skew,emphasis
Software,Random Weight,.101 +/- .196,.078 +/- .151,.047 +/- .079,--,--,0.86 +/- 0.93,0.28 +/- 0.19,
Software,Regression,.389 +/- .000,.301 +/- .000,.199 +/- .000,--,--,1.43 +/- 0.00,1.01 +/- 0.00,
Software,LassoCV,.402 +/- .012,.312 +/- .010,.201 +/- .001,--,--,1.33 +/- 0.11,0.92 +/- 0.12,
Software,ElasticNetCV,.408 +/- .004,.317 +/- .003,.202 +/- .001,--,--,1.26 +/- 0.04,0.93 +/- 0.03,
Software,SVR,.387 +/- .000,.300 +/- .000,.212 +/- .000,--,--,1.77 +/- 0.00,2.46 +/- 0.00,pearson:best
Software,XGBoost,.428 +/- .002,.333 +/- .001,.034 +/- .003,--,--,7.00 +/- 0.38,46.55 +/- 0.68,
Software,Random Forest,.419 +/- .002,.327 +/- .001,.122 +/- .007,--,--,3.24 +/- 0.19,14.37 +/- 2.77,
Software,Neural Network,.432 +/- .011,.335 +/- .009,.208 +/- .003,--,--,1.21 +/- 0.09,1.16 +/- 0.20,spearman:best;kendall:best;pearson:second
Software,UniScore (Ours),--,--,--,--,--,--,--,method:best
Software,-- p=0.10,.429 +/- .001,.332 +/- .001,.176 +/- .002,--,--,0.58 +/- 0.04,-0.26 +/- 0.03,method:best
Software,-- p=0.05,.432 +/- .001,.334 +/- .001,.179 +/- .001,--,--,0.51 +/- 0.02,-0.21 +/- 0.02,method:best;ncv:second;skew:second
Software,-- p=0.025,.432 +/- .001,.335 +/- .000,.181 +/- .001,--,--,0.44 +/- 0.01,-0.15 +/- 0.03,method:best;spearman:best;kendall:best;ncv:best;skew:best
SAMSum,Random Weight,-.066 +/- .159,-.048 +/- .111,-.092 +/- .173,--,--,0.99 +/- 1.09,-0.14 +/- 0.50,skew:second
SAMSum,Regression,.281 +/- .000,.202 +/- .000,.308 +/- .000,--,--,0.25 +/- 0.00,-1.32 +/- 0.00,
SAMSum,LassoCV,.266 +/- .002,.193 +/- .001,.296 +/- .002,--,--,0.21 +/- 0.01,-1.34 +/- 0.01,
SAMSum,ElasticNetCV,.266 +/- .002,.193 +/- .001,.296 +/- .002,--,--,0.21 +/- 0.01,-1.35 +/- 0.01,
SAMSum,SVR,.240 +/- .000,.169 +/- .000,.262 +/- .000,--,--,0.44 +/- 0.00,0.39 +/- 0.00,
SAMSum,XGBoost,.271 +/- .012,.204 +/- .009,.225 +/- .015,--,--,0.35 +/- 0.01,0.09 +/- 0.06,skew:best
SAMSum,Random Forest,.250 +/- .010,.181 +/- .008,.286 +/- .003,--,--,0.51 +/- 0.01,0.33 +/- 0.03,
SAMSum,Neural Network,.120 +/- .182,.090 +/- .137,.124 +/- .180,--,--,0.34 +/- 0.09,0.80 +/- 0.83,
SAMSum,UniScore (Ours),--,--,--,--,--,--,--,method:best
SAMSum,-- p=0.10,.311 +/- .000,.216 +/- .000,.316 +/- .000,--,--,0.22 +/- 0.00,-0.85 +/- 0.00,method:best
SAMSum,-- p=0.20,.328 +/- .000,.230 +/- .000,.321 +/- .000,--,--,0.18 +/- 0.00,-1.05 +/- 0.00,method:best;spearman:second;kendall:second;pearson:best;ncv:second
SAMSum,-- p=0.25,.333 +/- .000,.237 +/- .000,.320 +/- .000,--,--,0.16 +/- 0.00,-1.17 +/- 0.00,method:best;spearman:best;kendall:best;pearson:second;ncv:best
Depression,Random Weight,--,--,--,.564 +/- .149,.564 +/- .177,1.86 +/- 1.70,0.15 +/- 0.78,skew:best
Depression,Regression,--,--,--,.723 +/- .000,.783 +/- .000,0.69 +/- 0.00,0.36 +/- 0.00,
Depression,LassoCV,--,--,--,.723 +/- .000,.783 +/- .000,0.69 +/- 0.00,0.36 +/- 0.00,
Depression,ElasticNetCV,--,--,--,.723 +/- .000,.783 +/- .000,0.69 +/- 0.00,0.36 +/- 0.00,skew:second
Depression,SVR,--,--,--,.726 +/- .000,.789 +/- .000,1.01 +/- 0.00,0.65 +/- 0.00,acc:best
Depression,XGBoost,--,--,--,.725 +/- .000,.787 +/- .000,0.72 +/- 0.00,0.39 +/- 0.00,
Depression,Random Forest,--,--,--,.726 +/- .000,.786 +/- .000,0.72 +/- 0.00,0.39 +/- 0.00,
Depression,Neural Network,--,--,--,.728 +/- .003,.788 +/- .001,0.71 +/- 0.01,0.40 +/- 0.05,f1:second;acc:second
Depression,UniScore (Ours),--,--,--,--,--,--,--,method:best
Depression,-- n=50,--,--,--,.723 +/- .008,.781 +/- .003,0.22 +/- 0.01,0.63 +/- 0.06,method:best;ncv:best
Depression,-- n=100,--,--,--,.726 +/- .005,.779 +/- .008,0.22 +/- 0.02,0.66 +/- 0.09,method:best
Depression,-- n=200,--,--,--,.731 +/- .003,.778 +/- .007,0.22 +/- 0.02,0.64 +/- 0.08,method:best;f1:best;ncv:second
